customer_id,customer_age,gender,country,acquisition_channel,product_tier,tenure_months,monthly_spend,login_freq_monthly,feature_adoption,support_tickets_6m,nps_score,payment_failures_6m,referrals_made,days_since_login,customer_feedback,clv_12m
CUST0002704,37,Male,SG,Paid Ads,Free,13,0.0,15,0.14,2,10.0,1,1,5,Customer service was polite but couldn't fix my problem on the first try.,9.51
CUST0002634,27,Female,US,Organic Search,Free,84,0.0,12,0.392,2,,0,0,3,,0.0
CUST0000573,32,Female,US,Organic Search,Free,17,0.0,17,0.323,0,10.0,0,0,5,renewal was automatic and seamless. happy to stay on the pro plan.,9.37
CUST0003226,35,Male,AU,Paid Ads,Free,27,0.0,14,0.4,1,8.0,0,2,4,The Pro plan is worth every penny. ROI was clear within weeks.,0.0
CUST0004950,48,Female,AU,Organic Search,Basic,1,,16,0.234,1,8.0,0,2,5,Super easy to use and the customer support team is always helpful.,1215.34
CUST0002720,50,Male,AU,Organic Search,Pro,41,43.87,9,0.674,0,8.0,0,0,3,The dashboard is intuitive and the reports save me hours every month...,516.34
CUST0006175,29,Male,US,Organic Search,Enterprise,7,999.85,10,0.681,2,10.0,0,1,4,Not bad. I'd like to see more integrations added.,15579.31
CUST0005346,51,Female,CA,Referral,Free,36,0.0,12,0.784,0,2.0,0,0,1,Poor customer service. Was on hold for 45 minutes and no resolution.,2.33
CUST0000866,46,Female,US,Paid Ads,Pro,54,67.57,15,0.189,1,6.0,2,0,3,Used it for 54 months now. Hasn't wowed me but gets the job done.,484.23
CUST0001633,43,Male,DE,Organic Search,Free,12,0.0,7,0.192,3,6.0,1,1,3,Three billing errors in six months. Their accounting team is a mess.,0.0
CUST0001808,50,Male,US,Referral,Free,14,0.0,6,0.818,3,,0,0,1,,15.68
CUST0005210,48,Male,US,Email Campaign,Basic,6,24.82,12,0.481,0,9.0,0,0,3,The dashboard is intuitive and the reports save me hours every month.,279.71
CUST0001357,55,Female,CA,Paid Ads,Basic,84,46.19,7,0.65,0,10.0,0,0,3,The Pro plan is worth every penny. ROI was clear within weeks.,484.04
CUST0000310,50,Male,US,Email Campaign,Basic,3,14.06,16,0.266,1,0.0,0,4,3,The app crashes regularly. Completely unreliable for actual financial work.,216.89
CUST0004961,36,Non-Binary,US,Paid Ads,Basic,4,26.09,16,0.079,2,9.0,0,0,10,Used it for 4 months now. Hasn't wowed me but gets the job done.,295.58
CUST0001550,18,Male,IN,Paid Ads,Enterprise,6,916.97,11,0.452,3,6.0,0,0,0,Exported my data and moving to a competitor. Disappointing experience.,11453.91
CUST0006770,37,Male,US,Email campaign,Pro,28,155.61,11,0.129,3,0.0,0,2,2,The app crashes regularly. Completely unreliable for actual financial work.,1949.37
CUST0001371,24,Male,MX,Social Media,Pro,13,118.66,15,0.041,1,10.0,1,2,20,Great product. The new features they added last quarter are excellent.,1539.54
CUST0001576,54,Male,DE,Paid Ads,Free,21,0.0,9,0.28,2,10.0,2,3,4,Works okay most of the time. Had a couple of outages last month.,0.0
CUST0003427,38,Female,FR,Organic Search,Free,7,0.0,7,0.115,0,4.0,0,0,1,Exported my data and moving to a competitor. Disappointing experience.,0.0
CUST0002831,34,Male,MX,Organic Search,Free,50,0.0,10,0.202,1,4.0,0,0,1,Three billing errors in six months. Their accounting team is a mess.,5.59
CUST0006446,45,Female,IN,Direct,Basic,25,37.85,19,0.621,4,0.0,0,0,17,Had 25 support tickets in the last few months and issues are still open.,390.62
CUST0003927,44,Female,US,Email Campaign,Basic,44,22.98,14,0.296,0,6.0,0,1,23,Used it for 44 months now. Hasn't wowed me but gets the job done.,299.72
CUST0004545,41,Female,MX,Direct,Free,3,0.0,9,0.321,2,8.0,0,2,6,Some features are behind a paywall that feels excessive.,3.89
CUST0006692,47,Female,AU,Referral,Basic,1,,13,,0,9.0,0,0,6,The Pro plan is worth every penny. ROI was clear within weeks.,241.08
CUST0004726,40,Female,DE,Organic Search,Basic,11,55.38,14,0.184,6,2.0,1,1,2,frustrated with constant login issues. starting to look at alternatives.,522.89
CUST0004486,56,Non-Binary,DE,Email Campaign,Pro,12,46.92,5,0.489,2,10.0,0,4,41,Used it for 12 months now. Hasn't wowed me but gets the job done.,756.73
CUST0004335,22,Female,FR,Social Media,Free,10,0.0,12,0.063,0,7.0,0,1,2,Not bad. I'd like to see more integrations added.,0.0
CUST0004693,18,Male,US,Direct,Basic,3,43.21,9,0.679,1,3.0,0,0,1,Thinking about cancelling. Too many bugs and support is slow.,474.05
CUST0006499,33,Female,UK,Social Media,Enterprise,15,615.34,6,0.582,0,10.0,1,0,10,Great product. The new features they added last quarter are excellent.,8586.39
CUST0002391,24,Male,UK,Social Media,Pro,21,96.73,11,0.39,1,8.0,2,1,19,"Honestly the best fintech app I've tried. Clean interface, reliable data.",976.04
CUST0006102,46,Female,DE,Social Media,Pro,13,125.82,12,0.135,0,8.0,0,0,3,Renewal was automatic and seamless. Happy to stay on the Pro plan.,1430.55
CUST0000587,37,Female,BR,Organic Search,Basic,13,45.57,9,0.721,0,,1,3,7,,627.53
CUST0002202,18,Male,UK,Paid Ads,Basic,22,45.93,4,0.368,2,9.0,0,0,7,Decent product for the price. A few bugs here and there.,536.71
CUST0004928,18,Female,CA,Organic Search,Pro,4,188.48,17,0.666,3,6.0,0,0,3,Three billing errors in six months. Their accounting team is a mess.,1921.27
CUST0003140,28,Female,DE,Social Media,Basic,16,21.74,10,0.472,0,4.0,0,1,4,Cancelled my subscription last week. Not what I expected.,282.3
CUST0002497,54,Female,AU,Referral,Free,6,0.0,16,0.073,0,10.0,0,0,9,Great product. The new features they added last quarter are excellent.,8.14
CUST0006810,26,Male,SG,Organic Search,Pro,1,,10,0.527,2,6.0,2,3,16,Not bad... I'd like to see more integrations added...,1226.61
CUST0000514,48,Female,US,Organic Search,Pro,9,120.49,17,0.262,0,8.0,1,4,1,Switched from a competitor and never looked back. Much better value.,1896.22
CUST0006122,44,Female,FR,Organic Search,Pro,42,65.89,12,0.732,5,4.0,0,1,1,Poor customer service. Was on hold for 45 minutes and no resolution.,778.13
CUST0004146,36,Female,CA,Organic Search,Free,16,0.0,8,0.886,0,7.0,0,3,6,Customer service was polite but couldn't fix my problem on the first try.,0.0
CUST0000579,33,Male,UK,Referral,Basic,12,15.27,18,0.39,1,10.0,0,2,15,super easy to use and the customer support team is always helpful.,231.44
CUST0002510,18,Female,IN,Referral,Pro,6,89.99,12,0.095,0,6.0,0,3,2,works okay most of the time. had a couple of outages last month.,1306.65
CUST0003350,46,Female,BR,Referral,Basic,11,30.44,13,0.022,1,10.0,1,0,8,Great product. The new features they added last quarter are excellent.,291.83
CUST0002107,46,Male,UK,Referral,Basic,30,11.68,9,0.712,0,6.0,0,0,6,Used it for 30 months now. Hasn't wowed me but gets the job done.,109.58
CUST0003938,38,Male,US,Social Media,Basic,11,38.14,4,0.653,0,5.0,0,2,13,Decent product for the price... A few bugs here and there...,554.67
CUST0003224,49,Male,UK,Referral,Basic,1,,7,0.432,3,8.0,0,0,0,Cancelled my subscription last week. Not what I expected.,566.0
CUST0003099,18,Female,US,Organic Search,Pro,32,150.68,14,0.822,3,6.0,0,1,13,Exported my data and moving to a competitor. Disappointing experience.,1762.11
CUST0006389,42,Non-Binary,MX,Email Campaign,Pro,11,49.12,12,0.362,2,6.0,1,2,5,"It's fine. Does what it says, nothing special.",570.64
CUST0005600,37,Male,US,Direct,Enterprise,16,655.16,14,0.559,2,8.0,2,1,2,Customer service was polite but couldn't fix my problem on the first try.,9243.06
CUST0002632,34,Female,US,Email Campaign,Free,5,0.0,12,0.729,1,5.0,0,1,4,The basic features work well. The advanced ones feel unfinished.,0.0
CUST0002933,47,Female,CA,Organic Search,Basic,53,8.12,18,0.303,1,7.0,0,0,17,Some features are behind a paywall that feels excessive.,93.37
CUST0004542,43,Female,US,Referral,Free,58,0.0,14,0.306,1,7.0,0,2,8,Used it for 58 months now. Hasn't wowed me but gets the job done.,20.02
